member_id	log_date	exercise_id	workout	plan_id	cycle_id	week_id	day_id	sequence_number	created_at	updated_at
100001	5/14/2018 12:00:00 AM	100000	85x5, 100x5, 110x5, 125x5, 140x6	100000	1	1	1	2	5/14/2018 12:37:06 PM	NULL
100001	5/14/2018 12:00:00 AM	100002	190x5, 210x6	100000	1	1	1	3	5/14/2018 12:37:06 PM	NULL
100001	5/14/2018 12:00:00 AM	100004	85x8, 85x8	100000	1	1	1	5	5/14/2018 12:37:06 PM	NULL
100001	5/14/2018 12:00:00 AM	100007	235x5, 275x5, 315x5, 355x5, 395x7	100000	1	1	1	1	5/14/2018 12:37:06 PM	NULL
100001	5/14/2018 12:00:00 AM	100010	180x5, 200x5, 220x7	100000	1	1	1	4	5/14/2018 12:37:06 PM	NULL
100001	5/14/2018 12:00:00 AM	100014	50x12,50x12,50x12	100000	1	1	1	14	5/14/2018 12:37:06 PM	NULL
100001	5/16/2018 12:00:00 AM	100001	100x5, 120x5, 135x5, 155x5, 170x5	100000	1	1	2	7	5/16/2018 12:40:38 PM	NULL
100001	5/16/2018 12:00:00 AM	100003	25x8, 30x8	100000	1	1	2	9	5/16/2018 12:40:38 PM	NULL
100001	5/16/2018 12:00:00 AM	100005	15x7,15x5	100000	1	1	2	11	5/16/2018 12:40:38 PM	NULL
100001	5/16/2018 12:00:00 AM	100008	45x8, 55x8	100000	1	1	2	13	5/16/2018 12:40:38 PM	NULL
100001	5/16/2018 12:00:00 AM	100009	80x5, 95x5, 110x5, 120x5, 135x6	100000	1	1	2	8	5/16/2018 12:40:38 PM	NULL
100001	5/16/2018 12:00:00 AM	100011	15x5x2	100000	1	1	2	10	5/16/2018 12:40:38 PM	NULL
100001	5/16/2018 12:00:00 AM	100012	65x8, 85x8	100000	1	1	2	12	5/16/2018 12:40:38 PM	NULL
100001	5/16/2018 12:00:00 AM	100014	50x12x3	100000	1	1	2	14	5/16/2018 12:40:38 PM	NULL
100001	5/18/2018 12:00:00 AM	100000	90x5, 105x3, 120x3, 135x3, 150x4	100000	1	2	1	2	5/18/2018 3:38:02 PM	NULL
100001	5/18/2018 12:00:00 AM	100002	200x5, 225x3	100000	1	2	1	3	5/18/2018 3:38:02 PM	NULL
100001	5/18/2018 12:00:00 AM	100007	250x5, 295x3, 335x3, 375x3, 420x5	100000	1	2	1	1	5/18/2018 3:38:02 PM	NULL
100001	5/18/2018 12:00:00 AM	100010	180x3, 200x3, 225x6	100000	1	2	1	4	5/18/2018 3:38:02 PM	NULL
100001	5/18/2018 12:00:00 AM	100014	50x12x3	100000	1	2	1	14	5/18/2018 3:38:02 PM	NULL
100001	5/23/2018 12:00:00 AM	100001	110x5, 125x3, 145x3, 160x3, 180x5	100000	1	2	2	7	5/23/2018 12:29:31 PM	NULL
100001	5/23/2018 12:00:00 AM	100003	25x8, 30x8	100000	1	2	2	9	5/23/2018 12:29:31 PM	NULL
100001	5/23/2018 12:00:00 AM	100005	15x5x2	100000	1	2	2	11	5/23/2018 12:29:31 PM	NULL
100001	5/23/2018 12:00:00 AM	100009	85x5, 100x3, 115x3, 130x3, 145x5	100000	1	2	2	8	5/23/2018 12:29:31 PM	NULL
100001	5/23/2018 12:00:00 AM	100011	15x5x2	100000	1	2	2	10	5/23/2018 12:29:31 PM	NULL
100001	5/23/2018 12:00:00 AM	100014	50x5x3	100000	1	2	2	14	5/23/2018 12:29:31 PM	NULL
100001	5/25/2018 12:00:00 AM	100000	95x5, 110x3, 125x5, 140x3, 155x3	100000	1	3	1	2	5/25/2018 4:25:39 PM	NULL
100001	5/25/2018 12:00:00 AM	100002	200x5, 230x3	100000	1	3	1	3	5/25/2018 4:25:39 PM	NULL
100001	5/25/2018 12:00:00 AM	100007	265x5, 310x3, 355x5, 400x3, 450x3	100000	1	3	1	1	5/25/2018 4:25:39 PM	NULL
100001	5/25/2018 12:00:00 AM	100010	190x5, 215x3, 250x4	100000	1	3	1	4	5/25/2018 4:25:39 PM	NULL
100001	5/25/2018 12:00:00 AM	100014	50x12x3	100000	1	3	1	14	5/25/2018 4:25:39 PM	NULL
100001	5/28/2018 12:00:00 AM	100001	115x5, 135x3, 150x5, 170x3, 190x3	100000	1	3	2	7	5/28/2018 2:14:43 PM	NULL
100001	5/28/2018 12:00:00 AM	100005	15x8, 15x5	100000	1	3	2	11	5/28/2018 2:14:43 PM	NULL
100001	5/28/2018 12:00:00 AM	100008	45x8, 55x8	100000	1	3	2	13	5/28/2018 2:14:43 PM	NULL
100001	5/28/2018 12:00:00 AM	100009	90x5, 105x3, 120x5, 135x3, 150x3	100000	1	3	2	8	5/28/2018 2:14:43 PM	NULL
100001	5/28/2018 12:00:00 AM	100011	15x8, 15x8	100000	1	3	2	10	5/28/2018 2:14:43 PM	NULL
100001	5/28/2018 12:00:00 AM	100012	65x8, 85x8	100000	1	3	2	12	5/28/2018 2:14:43 PM	NULL
