plan_id	cycle_id	exercise_id	weight	reps	pullback	is_calculated	created_at	updated_at
100000	1	100000	165	1	0	True	5/11/2018 1:21:52 PM	5/11/2018 1:22:28 PM
100000	1	100001	200	1	0	True	5/11/2018 1:21:52 PM	5/11/2018 1:22:28 PM
100000	1	100002	250	1	0	True	5/11/2018 1:21:52 PM	5/11/2018 1:22:28 PM
100000	1	100003	100	1	0	False	5/11/2018 1:21:52 PM	5/11/2018 1:22:28 PM
100000	1	100004	100	1	0	False	5/11/2018 1:21:52 PM	5/11/2018 1:22:28 PM
100000	1	100005	100	1	0	False	5/11/2018 1:21:52 PM	5/11/2018 1:22:28 PM
100000	1	100007	465	1	0	True	5/11/2018 1:21:52 PM	5/11/2018 1:22:28 PM
100000	1	100008	100	1	0	False	5/11/2018 1:21:52 PM	5/11/2018 1:22:28 PM
100000	1	100009	160	1	0	True	5/11/2018 1:21:52 PM	5/11/2018 1:22:28 PM
100000	1	100010	250	1	0	True	5/11/2018 1:21:52 PM	5/11/2018 1:22:28 PM
100000	1	100011	100	1	0	False	5/11/2018 1:21:52 PM	5/11/2018 1:22:28 PM
100000	1	100012	100	1	0	False	5/11/2018 1:21:52 PM	5/11/2018 1:22:28 PM
100000	1	100014	100	1	0	False	5/11/2018 1:21:52 PM	5/11/2018 1:22:28 PM
